norm_name,prospect,comp_rank,distance,comp_player,comp_draft_year,comp_pick,comp_outcome_mpg,comp_outcome_tier
maliq brown,Maliq Brown,4,3.941880055500052,Jordan Bell,2017,38.0,12.0,bench
maliq brown,Maliq Brown,5,4.107249904613267,Willie Cauley-Stein,2015,6.0,22.0,rotation
tyler bilodeau,Tyler Bilodeau,1,1.3058019564316792,Justin Harper,2011,32.0,6.8,bust
tyler bilodeau,Tyler Bilodeau,2,1.8697427987448691,Semi Ojeleye,2017,37.0,14.5,bench
tyler bilodeau,Tyler Bilodeau,3,1.9283213025888228,Corey Kispert,2021,15.0,24.9,starter
tyler bilodeau,Tyler Bilodeau,4,1.9586069563075417,Rui Hachimura,2019,9.0,26.4,starter
tyler bilodeau,Tyler Bilodeau,5,2.01919896982557,Luke Babbitt,2010,16.0,14.0,bench
felix okpara,Felix Okpara,1,2.420628488814323,Fab Melo,2012,22.0,6.0,bust
felix okpara,Felix Okpara,2,2.45678529444986,Miles Plumlee,2012,26.0,16.4,rotation
felix okpara,Felix Okpara,3,2.5602407706562222,Patrick Patterson,2010,14.0,20.8,rotation
felix okpara,Felix Okpara,4,2.6576525108911273,Quincy Acy,2012,37.0,16.0,rotation
felix okpara,Felix Okpara,5,2.6951639729116237,DJ Wilson,2017,17.0,12.3,bench
tamin lipsey,Tamin Lipsey,1,1.4931581507934846,Jevon Carter,2018,32.0,16.0,rotation
tamin lipsey,Tamin Lipsey,2,2.224996052733874,Davion Mitchell,2021,9.0,20.9,rotation
tamin lipsey,Tamin Lipsey,3,2.3219847829492157,Ty Jerome,2019,24.0,17.3,rotation
tamin lipsey,Tamin Lipsey,4,2.4188739857158894,Earl Watson,2001,40.0,22.2,rotation
tamin lipsey,Tamin Lipsey,5,2.451436333595739,Miles McBride,2021,36.0,10.6,bench
pavle backo,Pavle Backo,1,1.962509003856204,Jahlil Okafor,2015,3.0,19.5,rotation
pavle backo,Pavle Backo,2,2.167756763438288,Isaiah Stewart,2020,16.0,25.7,starter
pavle backo,Pavle Backo,3,2.2912447592248655,Zeke Nnaji,2020,22.0,12.6,bench
pavle backo,Pavle Backo,4,2.38072208938994,Deandre Ayton,2018,1.0,30.7,starter
pavle backo,Pavle Backo,5,2.4116011485635855,Reggie Perry,2020,57.0,11.1,bench
